"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo"
"CS","CZ-NACE_2025_U5",6105,"17240","Výroba tapet","Výroba tapet","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"17250","Výroba ostatních výrobků z papíru a lepenky","Výroba ostatních výrobků z papíru a lepenky","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"18110","Tisk novin","Tisk novin","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"18120","Ostatní tisk","Ostatní tisk","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"18130","Příprava tisku a digitálních dat","Příprava tisku a digitálních dat","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"18140","Vázání a související činnosti","Vázání a související činnosti","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"18200","Rozmnožování nahraných nosičů","Rozmnožování nahraných nosičů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"19100","Výroba koksárenských produktů","Výroba koksárenských produktů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"19200","Výroba rafinovaných ropných produktů a produktů z fosilních","Výroba rafinovaných ropných produktů a produktů z fosilních paliv","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"20110","Výroba technických plynů","Výroba technických plynů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"20120","Výroba barviv a pigmentů","Výroba barviv a pigmentů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"20130","Výroba jiných základních anorganických chemických látek","Výroba jiných základních anorganických chemických látek","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"20140","Výroba jiných základních organických chemických látek","Výroba jiných základních organických chemických látek","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"20150","Výroba hnojiv a dusíkatých sloučenin","Výroba hnojiv a dusíkatých sloučenin","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"20160","Výroba plastů v primárních formách","Výroba plastů v primárních formách","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"20170","Výroba syntetického kaučuku v primárních formách","Výroba syntetického kaučuku v primárních formách","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"20200","Výroba pesticidů, dezinfekčních prostředků a jiných agrochem","Výroba pesticidů, dezinfekčních prostředků a jiných agrochemických přípravků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"20300","Výroba barev, laků a jiných nátěrových hmot, tiskařských bar","Výroba barev, laků a jiných nátěrových hmot, tiskařských barev a tmelů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"20410","Výroba mýdel, detergentů a čisticích a lešticích prostředků","Výroba mýdel, detergentů a čisticích a lešticích prostředků","2025-01-01","9999-09-09"
